source,screener_id,screener_name,category,subcategory,signal_bias,investment_horizon,confidence
"trendlyne","15-min-macd-crossover-below-signal-line","15 min MACD Crossover below Signal Line","technical_trend","trend_indicator","bearish","intraday","0.74"
"trendlyne","15-min-roc-trending-down","15 min ROC Trending Down","technical_trend","trend_indicator","bearish","intraday","0.74"
"trendlyne","15-min-roc-trending-up","15 min ROC Trending Up","technical_trend","trend_indicator","bullish","intraday","0.74"
"trendlyne","15-min-relative-strength-index-(rsi)-bearish","15 min Relative Strength Index (RSI) Bearish","technical_reversal","oscillator_signal","bearish","intraday","0.8200000000000001"
"trendlyne","15-min-relative-strength-index-(rsi)-bullish","15 min Relative Strength Index (RSI) bullish","technical_reversal","oscillator_signal","bullish","intraday","0.8200000000000001"
"trendlyne","15-min-supertrend-buys","15 min Supertrend Buys","technical_trend","trend_indicator","neutral","intraday","0.74"
"trendlyne","15-min-supertrend-sells","15 min Supertrend Sells","technical_trend","trend_indicator","neutral","intraday","0.74"
"trendlyne","15-min-supertrend-signal-changed-to-buy","15 min Supertrend Signal changed to Buy","technical_trend","trend_indicator","bullish","intraday","0.74"
"trendlyne","15-min-supertrend-signal-changed-to-sell","15 min Supertrend Signal changed to Sell","technical_trend","trend_indicator","bearish","intraday","0.74"
"trendlyne","15-min-willaims-%r-in-oversold-zone","15 min Willaims %R in Oversold zone","technical_reversal","oscillator_reversal","bullish","intraday","0.74"
"trendlyne","15-min-williams-%r-bearish","15 min Williams %R Bearish","technical_reversal","oscillator_signal","bearish","intraday","0.74"
"trendlyne","15-min-williams-%r-bullish","15 min Williams %R Bullish","technical_reversal","oscillator_signal","bullish","intraday","0.74"
"trendlyne","15-min-williams-%r-crossed--20-from-below","15 min Williams %R crossed -20 from below","technical_reversal","oscillator_signal","bearish","intraday","0.74"
"trendlyne","15-min-williams-%r-crossed--80-from-above","15 min Williams %R crossed -80 from above","technical_reversal","oscillator_signal","bullish","intraday","0.74"
"trendlyne","15-min-williams-%r-in-overbought-zone","15 min Williams %R in Overbought zone","technical_reversal","oscillator_reversal","bearish","intraday","0.74"
"trendlyne","15-min-williams-trending-down","15 min Williams Trending Down","technical_trend","trend_indicator","bearish","intraday","0.74"
"trendlyne","1h-adx-bearish-divergence","1H ADX Bearish Divergence","technical_reversal","oscillator_reversal","bearish","swing","0.74"
"trendlyne","1h-adx-bullish-divergence","1H ADX Bullish Divergence","technical_reversal","oscillator_reversal","bullish","swing","0.74"
"trendlyne","1h-adx-mild-trending-stocks","1H ADX Mild Trending Stocks","technical_trend","trend_indicator","neutral","swing","0.74"
"trendlyne","1h-adx-strong-trending-stocks","1H ADX Strong Trending Stocks","technical_trend","trend_indicator","bullish","swing","0.74"
"trendlyne","1h-adx-trending-stocks","1H ADX Trending Stocks","technical_trend","trend_indicator","neutral","swing","0.74"
"trendlyne","1h-bollinger-band-breakdown","1H Bollinger Band Breakdown","technical_breakout","price_breakout","bearish","swing","0.74"
"trendlyne","1h-bollinger-band-breakout","1H Bollinger Band Breakout","technical_breakout","price_breakout","bullish","swing","0.74"
"trendlyne","1h-cci-bearish","1H CCI Bearish","technical_reversal","oscillator_signal","bearish","swing","0.74"
"trendlyne","1h-cci-bullish","1H CCI Bullish","technical_reversal","oscillator_signal","bullish","swing","0.74"
"trendlyne","1h-cci-overbought","1H CCI Overbought","technical_reversal","oscillator_reversal","bearish","swing","0.74"
"trendlyne","1h-cci-oversold","1H CCI Oversold","technical_reversal","oscillator_reversal","bullish","swing","0.74"
"trendlyne","1h-cci-trending-down","1H CCI Trending Down","technical_trend","trend_indicator","bearish","swing","0.74"
"trendlyne","1h-cci-trending-up","1H CCI Trending Up","technical_trend","trend_indicator","bullish","swing","0.74"
"trendlyne","1h-cci-crossed-above-100","1H CCI crossed above 100","technical_reversal","oscillator_signal","bullish","swing","0.74"
"trendlyne","1h-cci-crossed-below--100","1H CCI crossed below -100","technical_reversal","oscillator_signal","bearish","swing","0.74"
"trendlyne","1h-macd-crossover-above-signal-line","1H MACD Crossover Above Signal Line","technical_trend","trend_indicator","bullish","swing","0.74"
"trendlyne","1h-macd-crossover-below-signal-line","1H MACD Crossover below Signal Line","technical_trend","trend_indicator","bearish","swing","0.74"
"trendlyne","1h-roc-trending-down","1H ROC Trending Down","technical_trend","trend_indicator","bearish","swing","0.74"
"trendlyne","1h-roc-trending-up","1H ROC Trending Up","technical_trend","trend_indicator","bullish","swing","0.74"
"trendlyne","1h-relative-strength-index-(rsi)-bearish","1H Relative Strength Index (RSI) Bearish","technical_reversal","oscillator_signal","bearish","swing","0.8200000000000001"
"trendlyne","1h-relative-strength-index-(rsi)-bullish","1H Relative Strength Index (RSI) bullish","technical_reversal","oscillator_signal","bullish","swing","0.8200000000000001"
"trendlyne","1h-supertrend-buys","1H Supertrend Buys","technical_trend","trend_indicator","neutral","swing","0.74"
"trendlyne","1h-supertrend-sells","1H Supertrend Sells","technical_trend","trend_indicator","neutral","swing","0.74"
"trendlyne","1h-supertrend-signal-changed-to-buy","1H Supertrend Signal changed to Buy","technical_trend","trend_indicator","bullish","swing","0.74"
"trendlyne","1h-supertrend-signal-changed-to-sell","1H Supertrend Signal changed to Sell","technical_trend","trend_indicator","bearish","swing","0.74"
"trendlyne","1h-willaims-%r-in-oversold-zone","1H Willaims %R in Oversold zone","technical_reversal","oscillator_reversal","bullish","swing","0.74"
"trendlyne","1h-williams-%r-bearish","1H Williams %R Bearish","technical_reversal","oscillator_signal","bearish","swing","0.74"
"trendlyne","1h-williams-%r-bullish","1H Williams %R Bullish","technical_reversal","oscillator_signal","bullish","swing","0.74"
"trendlyne","1h-williams-%r-crossed--20-from-below","1H Williams %R crossed -20 from below","technical_reversal","oscillator_signal","bearish","swing","0.74"
"trendlyne","1h-williams-%r-crossed--80-from-above","1H Williams %R crossed -80 from above","technical_reversal","oscillator_signal","bullish","swing","0.74"
"trendlyne","1h-williams-%r-in-overbought-zone","1H Williams %R in Overbought zone","technical_reversal","oscillator_reversal","bearish","swing","0.74"
"trendlyne","1h-williams-trending-down","1H Williams Trending Down","technical_trend","trend_indicator","bearish","swing","0.74"
"trendlyne","2h-adx-bearish-divergence","2H ADX Bearish Divergence","technical_reversal","oscillator_reversal","bearish","swing","0.74"
"trendlyne","2h-adx-bullish-divergence","2H ADX Bullish Divergence","technical_reversal","oscillator_reversal","bullish","swing","0.74"
"trendlyne","2h-adx-mild-trending-stocks","2H ADX Mild Trending Stocks","technical_trend","trend_indicator","neutral","swing","0.74"
"trendlyne","2h-adx-strong-trending-stocks","2H ADX Strong Trending Stocks","technical_trend","trend_indicator","bullish","swing","0.74"
"trendlyne","2h-adx-trending-stocks","2H ADX Trending Stocks","technical_trend","trend_indicator","neutral","swing","0.74"
"trendlyne","2h-bollinger-band-breakdown","2H Bollinger Band Breakdown","technical_breakout","price_breakout","bearish","swing","0.74"
"trendlyne","2h-bollinger-band-breakout","2H Bollinger Band Breakout","technical_breakout","price_breakout","bullish","swing","0.74"
"trendlyne","2h-cci-bearish","2H CCI Bearish","technical_reversal","oscillator_signal","bearish","swing","0.74"
"trendlyne","2h-cci-bullish","2H CCI Bullish","technical_reversal","oscillator_signal","bullish","swing","0.74"
"trendlyne","2h-cci-overbought","2H CCI Overbought","technical_reversal","oscillator_reversal","bearish","swing","0.74"
"trendlyne","2h-cci-oversold","2H CCI Oversold","technical_reversal","oscillator_reversal","bullish","swing","0.74"
"trendlyne","2h-cci-trending-down","2H CCI Trending Down","technical_trend","trend_indicator","bearish","swing","0.74"
"trendlyne","2h-cci-trending-up","2H CCI Trending Up","technical_trend","trend_indicator","bullish","swing","0.74"
"trendlyne","2h-cci-crossed-above-100","2H CCI crossed above 100","technical_reversal","oscillator_signal","bullish","swing","0.74"
"trendlyne","2h-cci-crossed-below--100","2H CCI crossed below -100","technical_reversal","oscillator_signal","bearish","swing","0.74"
"trendlyne","2h-macd-crossover-above-signal-line","2H MACD Crossover Above Signal Line","technical_trend","trend_indicator","bullish","swing","0.74"
"trendlyne","2h-macd-crossover-below-signal-line","2H MACD Crossover below Signal Line","technical_trend","trend_indicator","bearish","swing","0.74"
"trendlyne","2h-roc-trending-down","2H ROC Trending Down","technical_trend","trend_indicator","bearish","swing","0.74"
"trendlyne","2h-roc-trending-up","2H ROC Trending Up","technical_trend","trend_indicator","bullish","swing","0.74"
"trendlyne","2h-relative-strength-index-(rsi)-bearish","2H Relative Strength Index (RSI) Bearish","technical_reversal","oscillator_signal","bearish","swing","0.8200000000000001"
"trendlyne","2h-relative-strength-index-(rsi)-bullish","2H Relative Strength Index (RSI) bullish","technical_reversal","oscillator_signal","bullish","swing","0.8200000000000001"
"trendlyne","2h-supertrend-buys","2H Supertrend Buys","technical_trend","trend_indicator","neutral","swing","0.74"
"trendlyne","2h-supertrend-sells","2H Supertrend Sells","technical_trend","trend_indicator","neutral","swing","0.74"
"trendlyne","2h-supertrend-signal-changed-to-buy","2H Supertrend Signal changed to Buy","technical_trend","trend_indicator","bullish","swing","0.74"
"trendlyne","2h-supertrend-signal-changed-to-sell","2H Supertrend Signal changed to Sell","technical_trend","trend_indicator","bearish","swing","0.74"
"trendlyne","2h-willaims-%r-in-oversold-zone","2H Willaims %R in Oversold zone","technical_reversal","oscillator_reversal","bullish","swing","0.74"
"trendlyne","2h-williams-%r-bearish","2H Williams %R Bearish","technical_reversal","oscillator_signal","bearish","swing","0.74"
"trendlyne","2h-williams-%r-bullish","2H Williams %R Bullish","technical_reversal","oscillator_signal","bullish","swing","0.74"
"trendlyne","2h-williams-%r-crossed--20-from-below","2H Williams %R crossed -20 from below","technical_reversal","oscillator_signal","bearish","swing","0.74"
"trendlyne","2h-williams-%r-crossed--80-from-above","2H Williams %R crossed -80 from above","technical_reversal","oscillator_signal","bullish","swing","0.74"
"trendlyne","2h-williams-%r-in-overbought-zone","2H Williams %R in Overbought zone","technical_reversal","oscillator_reversal","bearish","swing","0.74"
"trendlyne","2h-williams-trending-down","2H Williams Trending Down","technical_trend","trend_indicator","bearish","swing","0.74"
"trendlyne","30-day-sma-crossing-over-200-day-sma,-and-current-price-greater-than-open","30 Day SMA crossing over 200 Day SMA, and current price greater than open","technical_trend","moving_average_trend","neutral","intraday","0.74"
"trendlyne","30-min-adx-bearish-divergence","30 min ADX Bearish Divergence","technical_reversal","oscillator_reversal","bearish","intraday","0.74"
"trendlyne","30-min-adx-bullish-divergence","30 min ADX Bullish Divergence","technical_reversal","oscillator_reversal","bullish","intraday","0.74"
"trendlyne","30-min-adx-mild-trending-stocks","30 min ADX Mild Trending Stocks","technical_trend","trend_indicator","neutral","intraday","0.74"
"trendlyne","30-min-adx-strong-trending-stocks","30 min ADX Strong Trending Stocks","technical_trend","trend_indicator","bullish","intraday","0.74"
"trendlyne","30-min-adx-trending-stocks","30 min ADX Trending Stocks","technical_trend","trend_indicator","neutral","intraday","0.74"
"trendlyne","30-min-bollinger-band-breakdown","30 min Bollinger Band Breakdown","technical_breakout","price_breakout","bearish","intraday","0.74"
"trendlyne","30-min-bollinger-band-breakout","30 min Bollinger Band Breakout","technical_breakout","price_breakout","bullish","intraday","0.74"
"trendlyne","30-min-cci-bearish","30 min CCI Bearish","technical_reversal","oscillator_signal","bearish","intraday","0.74"
"trendlyne","30-min-cci-bullish","30 min CCI Bullish","technical_reversal","oscillator_signal","bullish","intraday","0.74"
"trendlyne","30-min-cci-overbought","30 min CCI Overbought","technical_reversal","oscillator_reversal","bearish","intraday","0.74"
"trendlyne","30-min-cci-oversold","30 min CCI Oversold","technical_reversal","oscillator_reversal","bullish","intraday","0.74"
"trendlyne","30-min-cci-trending-down","30 min CCI Trending Down","technical_trend","trend_indicator","bearish","intraday","0.74"
"trendlyne","30-min-cci-trending-up","30 min CCI Trending Up","technical_trend","trend_indicator","bullish","intraday","0.74"
"trendlyne","30-min-cci-crossed-above-100","30 min CCI crossed above 100","technical_reversal","oscillator_signal","bullish","intraday","0.74"
"trendlyne","30-min-cci-crossed-below--100","30 min CCI crossed below -100","technical_reversal","oscillator_signal","bearish","intraday","0.74"
"trendlyne","30-min-macd-crossover-above-signal-line","30 min MACD Crossover Above Signal Line","technical_trend","trend_indicator","bullish","intraday","0.74"
"trendlyne","30-min-macd-crossover-below-signal-line","30 min MACD Crossover below Signal Line","technical_trend","trend_indicator","bearish","intraday","0.74"
"trendlyne","30-min-roc-trending-down","30 min ROC Trending Down","technical_trend","trend_indicator","bearish","intraday","0.74"
"trendlyne","30-min-roc-trending-up","30 min ROC Trending Up","technical_trend","trend_indicator","bullish","intraday","0.74"
"trendlyne","30-min-relative-strength-index-(rsi)-bearish","30 min Relative Strength Index (RSI) Bearish","technical_reversal","oscillator_signal","bearish","intraday","0.8200000000000001"
"trendlyne","30-min-relative-strength-index-(rsi)-bullish","30 min Relative Strength Index (RSI) bullish","technical_reversal","oscillator_signal","bullish","intraday","0.8200000000000001"
"trendlyne","30-min-supertrend-buys","30 min Supertrend Buys","technical_trend","trend_indicator","neutral","intraday","0.74"
"trendlyne","30-min-supertrend-sells","30 min Supertrend Sells","technical_trend","trend_indicator","neutral","intraday","0.74"
"trendlyne","30-min-supertrend-signal-changed-to-buy","30 min Supertrend Signal changed to Buy","technical_trend","trend_indicator","bullish","intraday","0.74"
"trendlyne","30-min-supertrend-signal-changed-to-sell","30 min Supertrend Signal changed to Sell","technical_trend","trend_indicator","bearish","intraday","0.74"
"trendlyne","30-min-willaims-%r-in-oversold-zone","30 min Willaims %R in Oversold zone","technical_reversal","oscillator_reversal","bullish","intraday","0.74"
"trendlyne","30-min-williams-%r-bearish","30 min Williams %R Bearish","technical_reversal","oscillator_signal","bearish","intraday","0.74"
"trendlyne","30-min-williams-%r-bullish","30 min Williams %R Bullish","technical_reversal","oscillator_signal","bullish","intraday","0.74"
"trendlyne","30-min-williams-%r-crossed--20-from-below","30 min Williams %R crossed -20 from below","technical_reversal","oscillator_signal","bearish","intraday","0.74"
"trendlyne","30-min-williams-%r-crossed--80-from-above","30 min Williams %R crossed -80 from above","technical_reversal","oscillator_signal","bullish","intraday","0.74"
"trendlyne","30-min-williams-%r-in-overbought-zone","30 min Williams %R in Overbought zone","technical_reversal","oscillator_reversal","bearish","intraday","0.74"
"trendlyne","30-min-williams-trending-down","30 min Williams Trending Down","technical_trend","trend_indicator","bearish","intraday","0.74"
"trendlyne","adx-bearish-divergence","ADX Bearish Divergence","technical_reversal","oscillator_reversal","bearish","swing","0.74"
"trendlyne","adx-bullish-divergence","ADX Bullish Divergence","technical_reversal","oscillator_reversal","bullish","swing","0.74"
"trendlyne","adx-mild-trending-stocks","ADX Mild Trending Stocks","technical_trend","trend_indicator","neutral","swing","0.74"
"trendlyne","adx-strong-trending-stocks","ADX Strong Trending Stocks","technical_trend","trend_indicator","bullish","swing","0.74"
"trendlyne","adx-trending-stocks","ADX Trending Stocks","technical_trend","trend_indicator","neutral","swing","0.74"
"trendlyne","ai-stocks-in-india","AI stocks in India","sector_theme","sector_or_theme","neutral","long_term","0.74"
"trendlyne","asm-(additional-surveillance-measure)/gsm-(graded-surveillance-measure)-stock-list","ASM (Additional Surveillance Measure)/GSM (Graded Surveillance Measure) stock list","risk_red_flags","financial_or_governance_risk","neutral","long_term","0.9"
"trendlyne","abandoned-baby-bottom-or-bullish-abandoned-baby-(bullish-reversal)","Abandoned Baby Bottom or Bullish Abandoned Baby (Bullish Reversal)","technical_reversal","candlestick_reversal","bullish","swing","0.8200000000000001"
"trendlyne","abandoned-baby-top-or-bearish-abandoned-baby-(bearish-reversal)","Abandoned Baby Top or Bearish Abandoned Baby (Bearish Reversal)","technical_reversal","candlestick_reversal","bearish","swing","0.8200000000000001"
"trendlyne","adani-group-share-prices-&-companies-list","Adani Group share prices & companies list","sector_theme","sector_or_theme","neutral","long_term","0.8200000000000001"
"trendlyne","aditya-birla-group-companies","Aditya Birla Group companies","sector_theme","sector_or_theme","neutral","long_term","0.9"
"trendlyne","affordable-stocks---stocks-with-good-trendlyne-valuation-score","Affordable Stocks - Stocks with Good Trendlyne Valuation Score","valuation","relative_or_absolute_value","neutral","long_term","0.8200000000000001"
"trendlyne","affordable-stocks-with-good-momentum-and-roe---all-stocks-(subscription)","Affordable stocks with good momentum and ROE - All Stocks (subscription)","fundamental_quality","capital_efficiency","neutral","long_term","0.74"
"trendlyne","all-stars:-high-scorers-across-metrics","All Stars: High Scorers Across Metrics","composite_strategy","multi_factor_strategy","bullish","long_term","0.74"
"trendlyne","announced-results-in-last-two-weeks,-with-rising-operating-profit-margin-and-yoy-profit-growth","Announced results in last two weeks, with rising operating profit margin and YoY profit growth","event_corporate_action","earnings_event","bullish","long_term","0.74"
"trendlyne","annual-profit-growth-higher-than-industry-profit-growth","Annual Profit Growth higher than Industry Profit Growth","fundamental_growth","earnings_growth","neutral","long_term","0.74"
"trendlyne","annual-profit-growth-higher-than-sector-profit-growth","Annual Profit Growth higher than Sector Profit Growth","fundamental_growth","earnings_growth","neutral","long_term","0.74"
"trendlyne","annual-profit-growth-less-than-industry-profit-growth","Annual Profit Growth less than Industry Profit Growth","fundamental_growth","earnings_growth","neutral","long_term","0.74"
"trendlyne","annual-profit-growth-less-than-sector-profit-growth","Annual Profit Growth less than Sector Profit Growth","fundamental_growth","earnings_growth","neutral","long_term","0.74"
"trendlyne","annual-revenue-growth-higher-than-industry-revenue-growth","Annual Revenue Growth higher than Industry Revenue Growth","fundamental_growth","revenue_growth","neutral","long_term","0.74"
"trendlyne","annual-revenue-growth-higher-than-sector-revenue-growth","Annual Revenue Growth higher than Sector Revenue Growth","fundamental_growth","revenue_growth","neutral","long_term","0.74"
"trendlyne","annual-revenue-growth-less-than-industry-revenue-growth","Annual Revenue Growth less than Industry Revenue Growth","fundamental_growth","revenue_growth","neutral","long_term","0.74"
"trendlyne","annual-revenue-growth-lower-than-sector-revenue-growth","Annual Revenue Growth lower than Sector Revenue Growth","fundamental_growth","revenue_growth","neutral","long_term","0.74"
"trendlyne","annual-revenue-and-eps-negative-surprise","Annual revenue and EPS negative surprise","event_corporate_action","earnings_event","bearish","long_term","0.74"
"trendlyne","annual-revenue-and-eps-positive-surprise","Annual revenue and EPS positive surprise","event_corporate_action","earnings_event","bullish","long_term","0.74"
"trendlyne","annual-revenue-and-net-profit-negative-surprise","Annual revenue and net profit negative surprise","event_corporate_action","earnings_event","bearish","long_term","0.74"
"trendlyne","annual-revenue-and-net-profit-positive-surprise","Annual revenue and net profit positive surprise","event_corporate_action","earnings_event","bullish","long_term","0.74"
"trendlyne","await-turnaround-(dvm)","Await Turnaround (DVM)","valuation","relative_or_absolute_value","neutral","long_term","0.74"
"trendlyne","bajaj-companies-list-&-share-prices","Bajaj companies list & share prices","sector_theme","sector_or_theme","neutral","long_term","0.74"
"trendlyne","banking-&-finance-stocks-that-saw-rising-net-profit-and-revenue-in-the-most-recent-quarter","Banking & finance stocks that saw rising net profit and revenue in the most recent quarter","sector_theme","sector_or_theme","bullish","positional","0.8200000000000001"
"trendlyne","battery-stocks---featuring-battery-manufacturers-in-india","Battery stocks - featuring battery manufacturers in India","sector_theme","sector_or_theme","neutral","long_term","0.74"
"trendlyne","bearish-engulfing-(bearish-reversal)","Bearish Engulfing (Bearish Reversal)","technical_reversal","candlestick_reversal","bearish","swing","0.8200000000000001"
"trendlyne","bearish-harami-(bearish-reversal)","Bearish Harami (Bearish Reversal)","technical_reversal","candlestick_reversal","bearish","swing","0.8200000000000001"
"trendlyne","bearish-harami-cross-(bearish-reversal)","Bearish Harami Cross (Bearish Reversal)","technical_reversal","candlestick_reversal","bearish","swing","0.8200000000000001"
"trendlyne","bearish-prb-(previous-range-breakout)","Bearish PRB (Previous Range Breakout)","technical_breakout","price_breakout","neutral","swing","0.8200000000000001"
"trendlyne","bearish-stocks---stocks-with-medium-to-low-trendlyne-momentum-score","Bearish Stocks - Stocks with Medium to Low Trendlyne Momentum Score","technical_momentum","relative_strength","bearish","swing","0.74"
"trendlyne","benjamin-graham-value-screen","Benjamin Graham Value Screen","valuation","relative_or_absolute_value","neutral","long_term","0.74"
"trendlyne","best-bargains-screener:-above-line-growth,-below-line-valuations","Best Bargains Screener: Above line growth, Below line valuations","valuation","relative_or_absolute_value","neutral","long_term","0.8200000000000001"
"trendlyne","best-results-last-week-in-yoy-net-profit-and-revenue-growth","Best results last week in YoY net profit and revenue growth","event_corporate_action","earnings_event","neutral","swing","0.74"
"trendlyne","big-changes-up-or-down-in-fii-holding","Big Changes up or down in FII holding","ownership_institutional","institutional_activity","neutral","long_term","0.74"
"trendlyne","big-deal-(insider-trades)-buys-last-month-greater-than-1%-of-total-shares","Big Deal (Insider Trades) buys last month greater than 1% of total shares","ownership_institutional","institutional_activity","neutral","positional","0.74"
"trendlyne","big-deal-(insider-trades)-buys-last-week-greater-than-1%-of-total-shares","Big Deal (Insider Trades) buys last week greater than 1% of total shares","ownership_institutional","institutional_activity","neutral","swing","0.74"
"trendlyne","big-deal-(insider-trades)-sells-last-month-greater-than-1%-of-total-shares","Big Deal (Insider Trades) sells last month greater than 1% of total shares","ownership_institutional","institutional_activity","neutral","positional","0.74"
"trendlyne","big-deal-(insider-trades)-sells-last-week-greater-than-1%-of-total-shares","Big Deal (Insider Trades) sells last week greater than 1% of total shares","ownership_institutional","institutional_activity","neutral","swing","0.74"
"trendlyne","big-gainers-in-share-price-with-good-net-profit-growth","Big Gainers in Share Price with Good Net Profit Growth","fundamental_growth","earnings_growth","bullish","long_term","0.74"
"trendlyne","big-changes-up-or-down-in-public-shareholding-in-the-past-quarter-(qoq)","Big changes up or down in public shareholding in the past quarter (QoQ)","ownership_institutional","institutional_activity","neutral","positional","0.74"
"trendlyne","black-marubozu-(bearish)","Black Marubozu (Bearish)","technical_reversal","candlestick_reversal","bearish","swing","0.74"
"trendlyne","bollinger-band-breakdown","Bollinger Band Breakdown","technical_breakout","price_breakout","bearish","swing","0.74"
"trendlyne","bollinger-band-breakout","Bollinger Band Breakout","technical_breakout","price_breakout","bullish","swing","0.74"
"trendlyne","broker-reco-and-target-upgrades-in-the-past-six-months","Broker Reco and Target Upgrades in the Past Six Months","analyst_sentiment","broker_forecast","neutral","long_term","0.8200000000000001"
"trendlyne","broker-upgrades:-stocks-where-brokers-upgraded-recommendation-or-price-target-in-the-past-one-month","Broker Upgrades: Stocks where brokers upgraded recommendation or price target in the past one month","analyst_sentiment","broker_forecast","neutral","positional","0.74"
"trendlyne","broker-downgrades-in-price-or-recommendation-in-the-past-one-month","Broker downgrades in price or recommendation in the past one month","analyst_sentiment","broker_forecast","neutral","positional","0.74"
"trendlyne","broker-price-or-reco-upgrades-in-last-month","Broker price or reco upgrades in last month","analyst_sentiment","broker_forecast","neutral","positional","0.8200000000000001"
"trendlyne","brokers-upgraded-recommendation-or-target-price-in-the-past-three-months","Brokers upgraded recommendation or target price in the past three months","analyst_sentiment","broker_forecast","neutral","long_term","0.8200000000000001"
"trendlyne","bullish-engulfing-pattern-(bullish-reversal)","Bullish Engulfing Pattern (Bullish Reversal)","technical_reversal","candlestick_reversal","bullish","swing","0.8200000000000001"
"trendlyne","bullish-harami-(bullish-reversal)","Bullish Harami  (Bullish Reversal)","technical_reversal","candlestick_reversal","bullish","swing","0.8200000000000001"
"trendlyne","bullish-harami-cross-(bullish-reversal)","Bullish Harami Cross (Bullish Reversal)","technical_reversal","candlestick_reversal","bullish","swing","0.8200000000000001"
"trendlyne","bullish-kicking-(bullish-reversal)","Bullish Kicking (Bullish Reversal)","technical_reversal","candlestick_reversal","bullish","swing","0.8200000000000001"
"trendlyne","bullish-prb-(previous-range-breakout)","Bullish PRB (Previous Range Breakout)","technical_breakout","price_breakout","bullish","swing","0.8200000000000001"
"trendlyne","buy-zone:-stocks-in-the-buy-zone-based-on-days-traded-at-current-pe-and-p/bv","Buy Zone: Stocks in the buy zone based on days traded at current PE and P/BV","valuation","relative_or_absolute_value","bullish","long_term","0.74"
"trendlyne","buys-by-superstar-investors","Buys by Superstar Investors","ownership_institutional","institutional_activity","neutral","long_term","0.74"
"trendlyne","cci-bearish","CCI Bearish","technical_reversal","oscillator_signal","bearish","swing","0.74"
"trendlyne","cci-bullish","CCI Bullish","technical_reversal","oscillator_signal","bullish","swing","0.74"
"trendlyne","cci-overbought","CCI Overbought","technical_reversal","oscillator_reversal","bearish","swing","0.74"
"trendlyne","cci-oversold","CCI Oversold","technical_reversal","oscillator_reversal","bullish","swing","0.74"
"trendlyne","cci-trending-down","CCI Trending Down","technical_trend","trend_indicator","bearish","swing","0.74"
"trendlyne","cci-trending-up","CCI Trending Up","technical_trend","trend_indicator","bullish","swing","0.74"
"trendlyne","cci-crossed-above-100","CCI crossed above 100","technical_reversal","oscillator_signal","bullish","swing","0.74"
"trendlyne","cci-crossed-below--100","CCI crossed below -100","technical_reversal","oscillator_signal","bearish","swing","0.74"
"trendlyne","combined-dvm-and-piotroski-scores-screener-(subscription)","Combined DVM and Piotroski Scores Screener (subscription)","fundamental_quality","balance_sheet_quality","neutral","long_term","0.74"
"trendlyne","companies-benefiting-from-government-pli-schemes","Companies Benefiting From Government PLI Schemes","sector_theme","sector_or_theme","neutral","long_term","0.74"
"trendlyne","companies-increasing-debt-as-per-annual-report","Companies Increasing Debt as per Annual Report","risk_red_flags","financial_or_governance_risk","bullish","long_term","0.74"
"trendlyne","companies-creating-new-highs","Companies creating new highs","technical_momentum","price_leadership","neutral","swing","0.74"
"trendlyne","companies-impacted-by-rising-crude-oil-prices","Companies impacted by rising crude oil prices","sector_theme","sector_or_theme","bullish","long_term","0.8200000000000001"
"trendlyne","companies-in-bse-smallcap-resilient-against-rupee-depreciation-&-oil-price-rise","Companies in BSE Smallcap resilient against rupee depreciation & oil price rise","technical_momentum","price_leadership","neutral","swing","0.74"
